Time,CPU Usage %,Temperature C
2018-11-05 17:22:04,10.3,42.9
2018-11-05 17:22:16,2.5,42.9
2018-11-05 17:22:28,3.2,43.5
2018-11-05 17:22:40,2.3,42.9
2018-11-05 17:22:51,2.6,42.9
2018-11-05 17:23:02,3.5,42.9
2018-11-05 17:23:14,3.7,42.9
2018-11-05 17:23:25,1.8,42.4
2018-11-05 17:23:36,2.9,41.9
2018-11-05 17:23:48,3.2,41.9
2018-11-05 17:23:59,3.6,41.9
2018-11-05 17:24:10,3.6,42.4
2018-11-05 17:24:22,2.4,42.4
2018-11-05 17:24:33,3.6,41.9
2018-11-05 17:24:44,2.8,42.4
2018-11-05 17:24:55,3.2,42.4
2018-11-05 17:25:07,2.4,41.9
2018-11-05 17:25:19,2.1,41.9
2018-11-05 17:25:30,2.6,41.9
2018-11-05 17:25:41,3.8,42.4
2018-11-05 17:25:52,3.3,41.9
2018-11-05 17:26:04,2.5,41.9
2018-11-05 17:26:15,3.4,41.9
2018-11-05 17:26:26,3.2,41.9
2018-11-05 17:26:39,2.5,41.9
2018-11-05 17:26:50,2.5,41.9
2018-11-05 17:27:02,2.5,42.4
2018-11-05 17:27:13,3.2,41.9
2018-11-05 17:27:25,3.5,41.9
2018-11-05 17:27:37,2.5,41.9
2018-11-05 17:27:48,3.3,41.9
2018-11-05 17:28:00,3.1,41.3
2018-11-05 17:28:11,2.5,40.8
2018-11-05 17:28:22,3.7,41.9
2018-11-05 17:28:34,2.5,41.3
2018-11-05 17:28:45,2,40.8
2018-11-05 17:28:56,2.6,41.3
2018-11-05 17:29:08,2.6,40.8
2018-11-05 17:29:20,3.3,40.8
2018-11-05 17:29:31,2.5,40.8
2018-11-05 17:29:42,3.5,40.8
2018-11-05 17:29:54,2.9,40.8
2018-11-05 17:30:06,3.2,41.3
2018-11-05 17:30:17,3.5,41.3
2018-11-05 17:30:29,2.2,40.8
2018-11-05 17:30:41,3,41.3
2018-11-05 17:30:52,1.8,41.3
2018-11-05 17:31:03,3.2,40.8
2018-11-05 17:31:15,2.6,40.8
2018-11-05 17:31:27,2.4,40.8
2018-11-05 17:31:38,3.3,40.2
2018-11-05 17:31:50,2.4,40.2
2018-11-05 17:32:01,3.4,41.3
2018-11-05 17:32:13,2.6,40.8
2018-11-05 17:32:24,3.4,40.8
2018-11-05 17:32:35,3,40.2
2018-11-05 17:32:47,3.2,39.7
2018-11-05 17:32:58,3.2,40.8
2018-11-05 17:33:09,3.6,40.8
2018-11-05 17:33:21,2.7,39.7
2018-11-05 17:33:32,3.6,40.8
2018-11-05 17:33:43,4,40.8
2018-11-05 17:33:55,3.5,40.2
2018-11-05 17:34:06,3,40.2
2018-11-05 17:34:18,2.7,40.8
2018-11-05 17:34:29,2,40.8
2018-11-05 17:34:40,2.9,40.2
2018-11-05 17:34:52,2.6,40.8
2018-11-05 17:35:03,3.4,39.7
2018-11-05 17:35:14,3.4,40.8
2018-11-05 17:35:26,2.7,40.8
2018-11-26 15:03:35,17.5,42.9
2018-11-26 15:03:47,6.3,42.9
2018-11-26 15:03:58,6,42.4
2018-11-26 15:04:10,8.2,42.9
2018-11-26 15:04:21,5.8,42.9
2018-11-26 15:04:33,5.5,41.9
2018-11-26 15:04:45,6.6,42.9
2018-11-26 15:04:56,6.8,42.4
2018-11-26 15:05:08,6.8,41.9
2018-11-26 15:05:19,6.6,42.4
2018-11-26 15:05:31,6.7,42.9
2018-11-26 15:05:42,7,41.9
2018-11-26 15:05:54,6.6,42.4
2018-11-26 15:06:05,7.6,42.9
2018-11-26 15:06:17,6.3,42.9
2018-11-26 15:06:28,6.2,41.9
2018-11-26 15:06:40,6.2,42.4
2018-11-26 15:06:51,7.6,42.9
2018-11-26 15:07:03,22.6,46.7
2018-11-26 15:07:15,15.7,44
2018-11-26 15:07:26,7.9,44
2018-11-26 15:07:38,20,46.2
2018-11-26 15:07:50,47,48.3
2018-11-26 15:08:01,18.2,46.2
2018-11-26 15:08:13,7.6,46.2
2018-11-26 15:08:24,7.1,45.1
2018-11-26 15:08:36,7.1,45.1
2018-11-26 15:08:47,8.5,45.1
2018-11-26 15:08:59,8,45.1
2018-11-26 15:09:10,7.9,44.5
2018-11-26 15:09:22,8.2,44
2018-11-26 15:09:34,7.5,44.5
2018-11-26 15:09:45,9,45.1
2018-11-26 15:09:57,7,44.5
2018-11-26 15:10:09,7.6,44.5
2018-11-26 15:10:20,7,44.5
2018-11-26 15:10:32,7.8,45.1
2018-11-26 15:10:43,6.5,44.5
2018-11-26 15:10:55,7.1,45.1
2018-11-26 15:11:06,7.5,44
2018-11-26 15:11:18,7.4,44.5
2018-11-26 15:11:29,9.5,45.1
2018-11-26 15:11:41,7.1,45.1
2018-11-26 15:11:53,7.1,44.5
2018-11-26 15:12:04,7,44
2018-11-26 15:12:16,8.2,44.5
2018-11-26 15:12:27,7.6,44.5
2018-11-26 15:12:38,7.8,45.1
2018-11-26 15:12:50,7.2,44.5
2018-11-26 15:13:02,7,44.5
2018-11-26 15:13:14,8.2,45.1
2018-11-26 15:13:25,7.3,45.1
2018-11-26 15:13:36,7.9,45.1
2018-11-26 15:13:48,7.2,44
2018-11-26 15:14:00,7.7,44.5
2018-11-26 15:14:12,30.5,49.4
